S.No,Crop,Disease Name,Tamil Control Message
1,Paddy,Brown spot (பிரவுன் ஸ்பாட்),நோவின் ஆரஞ்சு தொற்றுநோய்க் கவனித்தபின் மெட்டாலாக்சில்+குளோரோதாலோனில் 500 மில்லி / ஹெக்டர் தெளிக்கவும்
2,Paddy,Sheath rot (இலைஉறை அழுகல் நோய்),முதல் தெளிப்பு நோய் தோன்றும் போதும் மற்றும் 15 நாட்களுக்குப் பிறகு இரண்டாவது தெளிப்பு கார்பன்டாசிம் 500 கிராம் / எக்டர் அல்லது மெட்டாலாக்சில்+குளோரோதாலோனில் @ 500 மில்லி / எக்டர் தெளிக்கவும் hexaconazole 75% WG @ 100 mg / lit.
3,Paddy,Sheath blight (இலைவுறை கருகல் நோய்),மண் வழியில் பரவும் பூஞ்சாணத்தை கட்டுப்படுத்த யூரியாசால் @ 2.5 கிலோ / எக்டர் அளிக்க வேண்டும். (இதனை 50 கிலோ தொழு உரம்/மண்ணுடன் கலந்து அளிக்க வேண்டும்). திரவ குளோரோபைரிபாஸ்10மி.லி./கிலோ விதைக்கு விதை நேர்த்தி செய்யவும். இலைவழி வழியாக குளோரோதாலோனில் யூரியாசால் (0.2 % செறிவில்) தெளிக்க வேண்டும்.
4,Paddy,False smut (மஞ்சள் கரியப்பூட்டை நோய்),கதிர் இலைப்பருவம் மற்றும் பால்பருவங்களில் பூசணக் கொல்லி தாக்குதலை தடுப்பதற்கு "காப்பர் ஆக்ஸிகுளோரைடு 2.5 கிராம்/லிட்டர்" அல்லது "ப்ரோப்பிகோனசோல்" 2 மில்லி/லிட்டர் ஆகிய ஏதொன்றை தெளிக்கவேண்டும்.
5,Paddy,Leaf streak (இலைக்கருகல் நோய்),"அதிகளவு உரங்கள் அளிப்பதை தவிர்க்க வேண்டும். கார்பன்டாசிம் கொண்டு விதை நேர்த்தி செய்யவேண்டும். மேன்கோசெப் மற்றும் காப்பர் ஆக்ஸிகுளோரைடு, ஆகிய ஏதாவது ஒன்றை இலைவழி உரமாக அளிக்கவேண்டும்."
6,Paddy,Grain discoloration (தானிய நிறமாற்ற சிதைவடைதல்),அதிகளவு நைட்ரஜன் உரங்கள் அளிப்பதை தவிர்க்கவும் கதிர் பூக்கும் பருவத்தில் கார்பன்டாசிம் + திரம் + மேன்கோசெப் (1 : 1 : 1) 0.2 சதவீதம் என்ற அளவில் தெளிக்க வேண்டும்.
7,Paddy,Rice Tungro (துங்ரோ நோய்),2% யூரியாலை 2.5 கிராம்/லிட்டர் மேன்கோசெப்புடன் கலந்து தெளிக்கவேண்டும். நாற்றங்காலில் 2.5 சென்ட் நீருற்றுக்கு வைக்கவேண்டும். கார்போபியூரான் 3 ஜி 3.5 கிலோ (அ) போரேட் 10 ஜி 1.0 கிலோ 20 சென்ட் நாற்றங்காலில் வீசித் தூவவிட வேண்டும்.
8,Paddy,White tip nematode (வெள்ளை முனை நூற்புழு),பாராதியான் (ஃபோரடான்) 0.05 or மெட்டாசிஸ்டாக்ஸ் 0.1% தெளிக்கவும்
9,Paddy,Blast (குலைநோய்:),"25 சதுர மீட்டர் பரப்பளவில் 2.5 செ.மீ ஆழம் வரை நீர் தேக்கி வைக்க வேண்டும். இந்த தேங்கிய நீரில் 2.5 கிலோ சூடோமோனாஸ் ஃப்ளோரசன்ஸைப்பொடியைத் தூவி இரவணை, இதில் 30 நிமிடங்கள் ஊற வைத்து பின் நடவு செய்ய வேண்டும். மெட்டாலாக்சில்+குளோரோதாலோனில் 500 மி.லி./ எக்டர் அல்லது அசாக்ஸிஸ்ட்ரோபின் 500 மி.லி./ எக்டர் மற்றும் டேபுக்கோனசோலின் பி.பி-1 கலவையை தெளிக்கவும். நடவு செய்த 45 நாட்களுக்குப் பிறகு பின் 10 நாட்கள் இடைவெளியில் சூடோமோனாஸ் ஃப்ளோரசன்ஸ் பொடியை 0.5% என்ற அளவில் மூன்று முறை தெளிக்க வேண்டும்."
10,Paddy,Bacterial leaf blight (பாக்டீரியா இலைக்கருகல் நோய்),20% புதிய மாட்டு சாணம் சாற்றை இரண்டு முறை தெளிக்கவும் (ஆரம்பத்தில் இருந்து தொடங்கி நோயின் தோற்றம் மற்றும் பதினைந்து வார இடைவெளியில்) அல்லது இரண்டு முறை செப்பு ஆக்ஸிகுளோரைடு 77 WP @ 1.25 கிலோ / எக்டர் 30 மற்றும் 45 நாட்களுக்குப் பிறகு ஸ்ட்ரெப்டோமைசின் சல்பேட் + டெட்ராசைக்ளின் கலவை @ 300 கிராம் + காப்பர் ஆக்ஸிகுளோரைடு @ 1.25 கிலோ / எக்டர்.
