District,Crop,Soil Type
Kancheepuram,Rice,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Pearl Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Sorghum,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Gingelly,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Finger Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Groundnut,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Red Gram,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Sugarcane,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Cashew,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Mango,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Guards,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Green Chillies,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Brinjal,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Tapioca,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Yam,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Banana,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Jack,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Guava,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Watermelon,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Turmeric,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Tube rose,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Crossandra,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Kancheepuram,Lemongrass,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Rice,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Pearl Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Sorghum,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Gingelly,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Finger Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Groundnut,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Red Gram,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Sugarcane,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Cashew,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Mango,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Guards,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Green Chillies,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Brinjal,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Tapioca,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Yam,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Banana,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Jack,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Guava,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Watermelon,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Turmeric,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Tube rose,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Crossandra,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Chengalpet,Lemongrass,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Rice,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Pearl Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Sorghum,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Gingelly,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Finger Millet,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Groundnut,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Red Gram,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Sugarcane,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Cashew,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Mango,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Guards,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Green Chillies,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Brinjal,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Tapioca,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Yam,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Banana,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Jack,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Guava,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Watermelon,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Turmeric,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Tube rose,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Crossandra,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Tiruvallur,Lemongrass,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
Cuddalore,Rice,"Red Sandy Loam, Clay Loam, Saline Coastal Alluvium"
