District,current water level,Actual Rainfall (mm),Soil Moisture (%)
Ariyalur,21.21,926.0,40.27
Chengalpattu,4.0,1186.7,38.84406250000001
Chennai,8.651621621621622,1447.0,31.23
Coimbatore,10.2,1205.8,41.51
Cuddalore,21.1,1178.6,37.73
Dharmapuri,7.9,902.0,39.53
Dindigul,11.3,930.7,41.38
Erode,9.2,703.0,40.54
Kallakurichi,6.4,956.7,38.84406250000001
Kancheepuram,7.99,1155.1,26.69
Kanniyakumari,5.21,1338.3,32.78
Karur,12.77,655.0,38.4
Krishnagiri,7.07,850.7,41.22
Madurai,5.0,827.4,44.62
Mayiladuthurai,17.0,1284.1,38.84406250000001
Nagapattinam,3.1,1327.0,33.42
Namakkal,5.0,793.4,39.05
The Nilgiris,0.0,985.0,44.2
Perambalur,8.1,816.0,43.99
Pudukkottai,17.12,787.7,36.04
Ramanathapuram,11.9,807.8,40.48
Ranipet,5.6,944.7,38.84406250000001
Salem,6.3,998.0,38.75
Sivagangai,10.3,872.8,41.68
Tenkasi,5.3,872.5,38.84406250000001
Thanjavur,14.08,1027.5,39.18
Theni,11.47,720.0,44.93
Tirunelveli,6.92,795.8,35.4
Tirupathur,6.74,817.6,38.84406250000001
Tiruppur,7.41,619.0,37.99
Thiruvallur,7.3,1182.1,35.57
Tiruvannamalai,4.2,1019.7,38.84
Thiruvarur,6.4,1172.2,40.25
Thoothukudi,3.06,694.0,36.11
Tiruchirappalli,15.8,818.0,36.97
Vellore,7.4,925.5,38.38
Viluppuram,6.7,1012.6,40.65
Virudhunagar,3.56,773.0,45.23
